Timestamp,Expression,R² Score,Complexity,Validation Score,Valid,Interpretation,Provider,Domain
2025-12-13T16:32:52.067046,var_0*var_1,0.9996664602734352,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:33:24.641749,var_0*(var_1 - 1*0.27644855),0.9998631468706909,5,97.6,True,"This expression calculates a scaled deviation or excess return metric, where var_0 acts as a scaling",anthropic,defi
2025-12-13T16:33:54.745463,var_0*var_1,0.9998652108428363,3,96.1,True,"This expression calculates the product of two variables, representing a direct multiplicative relati",anthropic,defi
2025-12-13T16:34:23.854393,var_0*var_1,0.9995966504416516,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:34:57.801028,var_1*0.9931732*var_0 + 398.5276,0.9997811797892844,7,96.1,True,This expression calculates a defi financial metric with a strong linear relationship between two var,anthropic,defi
2025-12-13T16:35:27.897541,var_0*var_1,0.9997329564265018,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:36:01.916573,-0.94566596*var_0*(-var_1 - 115.29501) + (1.36601526*var_0 + 0.63398474*var_1)*log(var_0) - 3476.5083,0.9999546249437714,22,86.8,True,"This expression calculates a DeFi metric that combines linear and logarithmic components, likely rep",anthropic,defi
2025-12-13T16:36:34.784087,var_0*var_1,0.9998488112646146,3,96.1,True,"This expression calculates a simple multiplicative relationship between two variables, representing ",anthropic,defi
2025-12-13T16:37:10.067043,var_0*sqrt((0.95672869202559*var_1 - 1144.0634)*(var_1 + 1938.5535)),0.9999364889880776,12,88.1,True,This expression calculates a scaled volatility or risk metric that depends on a quadratic relationsh,anthropic,defi
2025-12-13T16:37:44.422745,var_0*((var_0 - 1*80.729065)*var_0*(-0.12370106) + var_1),0.9997899745203985,11,97.0,True,This expression calculates a quadratic adjustment to a base value (var_1) using a scaled variable (v,anthropic,defi
2025-12-13T16:38:13.894553,var_0*var_1,0.9997711510655934,3,96.1,True,"This expression calculates the product of two variables, representing a fundamental multiplicative r",anthropic,defi
2025-12-13T16:38:42.778265,var_0*var_1,0.9995774270299774,3,96.1,True,"This expression calculates the product of two variables, representing a fundamental multiplicative r",anthropic,defi
2025-12-13T16:39:14.410078,var_0*var_1,0.9996998147778962,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:39:47.938490,var_1*(var_0 - 1.973866)*1.0161545,0.9996315030451668,7,97.6,True,"This expression calculates a scaled linear adjustment of var_0 around a threshold of 1.973866, multi",anthropic,defi
2025-12-13T16:40:19.631668,var_0*(var_1 - 1*10.420846) + 1052.2843,0.9998488000812333,7,97.6,True,"This expression calculates a linear adjustment to a base value of 1052.28, where var_0 acts as a sca",anthropic,defi
2025-12-13T16:40:49.022853,var_0*var_1,0.9996028484633152,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:41:24.160994,(0.9727712*var_0 - 1*(-3.1225438))*(var_1 + 103.43822) - 11494.739,0.9999124463052582,11,97.6,True,"This expression calculates a DeFi protocol metric (likely TVL, yield, or profit/loss) using a biline",anthropic,defi
2025-12-13T16:41:45.771550,(var_0 + 0.15921253)*(var_1 + exp(189.80486*(exp(196.31241/var_0) + 446.13754/var_0)/var_1)),0.9999320262100247,19,80.8,False,,,defi
2025-12-13T16:42:17.181596,var_0*var_1,0.9998534442784742,3,96.1,True,"This expression calculates the product of two variables, representing a fundamental multiplicative r",anthropic,defi
2025-12-13T16:42:48.029050,var_0*var_1*1.0052704,0.9996666277891906,5,96.1,True,"This expression calculates a product of two variables scaled by a constant factor of 1.0052704, like",anthropic,defi
2025-12-13T16:43:16.980042,var_0*var_1,0.9996705978357466,3,96.1,True,"This expression calculates the product of two variables, representing a fundamental multiplicative r",anthropic,defi
2025-12-13T16:43:50.283576,(var_1 + 1.2570807)*(var_0 - 1.543513 - (-1)*309.30484/var_0) - 285.85574,0.9999552492277808,13,93.99999999999999,True,This expression calculates a composite DeFi metric that combines two adjusted variables with offset ,anthropic,defi
2025-12-13T16:44:09.754671,var_1*(0.961841884598793*var_0 + 48.823025)*sqrt(var_0*(var_0 - 68.372215) + 1614.7473)/var_0,0.9997687808223263,22,77.6,False,,,defi
2025-12-13T16:44:39.562552,var_0*var_1,0.9996596432739466,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:45:09.374760,var_0*var_1,0.9996889755826829,3,96.1,True,"This expression calculates a simple multiplicative relationship between two variables, representing ",anthropic,defi
2025-12-13T16:45:40.162374,var_0*var_1,0.9996922038663434,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:46:09.915413,var_0*var_1,0.9998123880491251,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:46:45.738416,(var_1 - 97.63724)*(var_0 + 1.5007054 - 321.92606/var_0) + 25291.736,0.999910500104154,13,93.99999999999999,True,This expression calculates a complex financial metric that combines two variables through a hybrid l,anthropic,defi
2025-12-13T16:47:19.568130,var_0*var_1,0.9997256308038843,3,96.1,True,"This expression calculates the product of two variables, representing a multiplicative relationship ",anthropic,defi
2025-12-13T16:47:39.728661,var_1*(var_0 - 1/(var_0 + var_0 - 96.47776)**0.6634659),0.9998384541593012,11,61.89999999999999,False,,,defi
