Timestamp,Expression,R² Score,Complexity,Validation Score,Valid,Interpretation,Provider,Domain,source_file,source_path,date,timestamp,price_usd,volume_24h,volatility_7d,volatility_30d,days_in_position,expected_risk_score,il_percent,name,range_width,risk_category
2025-12-14T12:34:33.546225,(-0.014252516 + 0.02163833/w3)*exp(w1*3.4212418 + (w1 + w2)*(-0.65453327))**w2,0.8507580576446463,18.0,87.7,True,This expression calculates a risk-adjusted portfolio metric that combines a base risk measure with w,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:35:06.142669,mu + sigma*(-1.6404055),0.9992697411960482,5.0,94.0,True,This expression calculates a risk-adjusted return measure that represents the expected return minus ,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:35:27.773583,mu*((-0.81414884 - (-0.8096013)*exp(-0.41028166/sigma))*(mu + (mu + 0.99172485)*(-2.048064)) - (-1)*0.41028166/sigma),0.969982471907226,22.0,82.9,False,,,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:35:49.920887,sigma*(-exp(-0.013332616/sigma - 0.34683973/mu) + (mu + 0.06971537)/mu)*2.3919518,0.9946149096292368,18.0,82.0,False,,,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:36:15.513332,0.218811390270683*exp(-1.9543741*w2/w3)**(1/4) + log(sqrt(exp(w1*w2/w3))),0.9924935832371384,19.0,73.69999999999999,False,,,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:36:46.682024,mu + sigma*(-2.5571208),0.997700881157357,5.0,94.0,True,"This expression calculates a downside risk threshold or stress-test scenario, representing the expec",anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:37:25.275645,w2*w2 + w3*w3 + exp(w1*w1*0.4159608),0.7227640901161361,14.0,91.3,True,This expression calculates a modified portfolio risk measure that combines quadratic risk contributi,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:38:02.875399,w1*w1 + w4*w4 + 2.2396371,0.4797414608800053,9.0,100.0,True,This expression calculates a partial risk measure focusing on the squared exposure contributions of ,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:38:35.850157,(w1 + w2 + w3)*0.33380073,0.99880600892795,7.0,91.9,True,"This expression calculates approximately one-third of the total portfolio weight, representing an eq",anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:39:11.519842,mu + sigma*(-1.9733043),0.9988668824076892,5.0,94.0,True,"This expression calculates a downside risk threshold or Value-at-Risk (VaR) measure, representing a ",anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:39:46.039150,mu + sigma*(-1.6422455),0.9998164072570724,5.0,94.0,True,"This expression calculates a downside risk threshold or Value-at-Risk (VaR) measure, representing th",anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:40:26.978938,-w1 + log(exp(w3**2 + w4**2 + exp(w1))) + 0.92301697,0.696668440275521,16.0,88.0,True,This expression calculates a risk-adjusted portfolio metric that penalizes concentration in Asset 1 ,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:41:02.896447,(w1 + w2 + w3)*0.3345475,0.9994929126321545,7.0,91.9,True,This expression calculates a weighted portfolio risk measure by applying a constant scaling factor (,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:41:36.840634,(w1 + w2 + w3)*0.33201307,0.9987077148410298,7.0,91.9,True,"This expression calculates approximately one-third of the total portfolio weight allocation, suggest",anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:42:15.813953,w1*w1*1.0573066 + w2*w2 + w3*w3 - w4 + w4*(-0.41552454) + exp(w4) - 0.36353886 - 0.2035765,0.9754149355615708,26.0,90.7,True,This expression calculates a modified portfolio risk measure that combines quadratic weight penaltie,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:42:52.690416,w2*(0.97082025 - 0.06834555/w3)*((w1 - 0.46755034)*1.2005765 - 1*(-0.39942828) + 0.023542037/w3)/w3 - (-1)*0.20354354/w3,0.9378971427043564,25.0,87.7,True,This expression calculates a risk-adjusted portfolio metric that combines asset weights with correct,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:43:17.605953,mu*exp(sigma*(exp((sigma + sigma)*(-8.052729)) - 18.15679))/0.10187814,0.8994559920958164,15.0,83.0,False,,,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
2025-12-14T12:43:58.963003,mu - 1.9560992*sigma,0.998408950578912,5.0,94.0,True,This expression calculates a risk-adjusted return metric that penalizes expected return by approxima,anthropic,risk,risk_synthetic_20251214_131315,risk_synthetic_20251214_131315.csv,,,,,,,,,,,,
