date,price_usd,timestamp,volatility_30d,volatility_7d,volume_24h
2024-08-01,1791.67,1722466800,0.872,0.491,912543977.55
2024-08-02,1676.82,1722553200,0.5732,0.4175,630408248.94
2024-08-03,1742.6,1722639600,0.8249,0.5187,539803954.53
2024-08-04,1724.0,1722726000,0.5287,0.4562,1383898525.81
2024-08-05,1661.44,1722812400,0.9661,0.6607,1010375774.78
2024-08-06,1679.78,1722898800,0.3274,0.5673,645074565.25
2024-08-07,1616.36,1722985200,0.5172,0.5942,1304342137.18
2024-08-08,1561.52,1723071600,0.3496,0.5771,1427779628.55
2024-08-09,1549.53,1723158000,0.6291,0.435,841847413.48
2024-08-10,1574.72,1723244400,0.4065,0.356,916960404.67
2024-08-11,1594.06,1723330800,0.438,0.6498,900466733.07
2024-08-12,1571.14,1723417200,0.7172,0.5259,1593690196.93
2024-08-13,1592.26,1723503600,0.1973,0.3348,1335424615.66
2024-08-14,1563.31,1723590000,0.6947,0.4027,548150365.86
2024-08-15,1684.39,1723676400,0.8182,0.3634,1814551439.71
2024-08-16,1726.49,1723762800,0.6999,0.4395,1188277778.88
2024-08-17,1702.24,1723849200,0.4291,0.5713,1376878985.34
2024-08-18,1890.67,1723935600,0.5836,0.4892,1264289440.51
2024-08-19,1965.64,1724022000,0.584,0.402,1688119046.54
2024-08-20,2054.42,1724108400,0.4782,0.743,1293671517.65
2024-08-21,2098.35,1724194800,0.5137,0.335,1522565553.54
2024-08-22,2072.38,1724281200,0.6922,0.0936,1152147876.0
2024-08-23,2053.85,1724367600,0.948,0.5935,1250879169.58
2024-08-24,2032.14,1724454000,0.4771,0.3831,1458424242.3
2024-08-25,1962.52,1724540400,0.5487,0.445,1667939717.95
2024-08-26,1975.12,1724626800,0.2893,0.6549,1893647924.4
2024-08-27,1995.81,1724713200,0.5223,0.51,1817014398.81
2024-08-28,1994.27,1724799600,0.4457,0.4578,1640903247.89
2024-08-29,1985.05,1724886000,0.3993,0.5594,897584943.41
2024-08-30,2066.91,1724972400,0.7148,0.4892,1594896603.63
2024-08-31,2098.24,1725058800,0.5388,0.3743,1157150125.87
2024-09-01,2161.92,1725145200,0.69,0.4632,1382463077.69
2024-09-02,2233.3,1725231600,0.3281,0.6963,843412675.72
2024-09-03,2273.9,1725318000,0.6539,0.4678,1503466667.44
2024-09-04,2270.65,1725404400,0.1955,0.5088,1209006539.47
2024-09-05,2307.58,1725490800,0.6536,0.3008,1146576773.61
2024-09-06,2205.0,1725577200,0.6677,0.5741,1976247817.05
2024-09-07,2297.47,1725663600,0.753,0.5101,872984500.88
2024-09-08,2311.95,1725750000,0.4497,0.5938,874709671.82
2024-09-09,2268.3,1725836400,0.5483,0.7352,575882494.29
2024-09-10,2293.58,1725922800,0.7495,0.5368,1773043601.62
2024-09-11,2371.28,1726009200,0.9505,0.1342,587953099.96
2024-09-12,2496.05,1726095600,0.7836,0.1165,1182512551.01
2024-09-13,2530.08,1726182000,0.6887,0.5209,1577612412.94
2024-09-14,2548.28,1726268400,0.4814,0.4493,1313292802.06
2024-09-15,2481.76,1726354800,0.9753,0.6597,1779079838.07
2024-09-16,2523.7,1726441200,0.4194,0.4003,1392552659.68
2024-09-17,2676.32,1726527600,0.3944,0.2772,869323021.68
2024-09-18,2702.37,1726614000,0.4961,0.543,1284174073.3
2024-09-19,2645.04,1726700400,0.4011,0.3901,1093678770.19
2024-09-20,2753.69,1726786800,0.7364,0.0713,608814671.74
2024-09-21,2769.14,1726873200,1.0132,0.4167,819731468.4
2024-09-22,2700.14,1726959600,0.867,0.6056,1054290633.11
2024-09-23,2588.15,1727046000,0.5294,0.4393,1980849595.45
2024-09-24,2542.5,1727132400,0.5098,0.5247,1495083072.45
2024-09-25,2580.71,1727218800,0.8199,0.4214,1329835461.33
2024-09-26,2531.19,1727305200,0.7807,0.4348,1451356938.33
2024-09-27,2494.5,1727391600,0.6244,0.3429,638447701.57
2024-09-28,2545.17,1727478000,0.8779,0.4315,1455670065.95
2024-09-29,2499.04,1727564400,0.7387,0.7267,514504549.41
2024-09-30,2476.43,1727650800,0.4939,0.3762,1751892529.83
2024-10-01,2541.98,1727737200,0.1695,0.5351,1848472233.11
2024-10-02,2530.04,1727823600,0.7595,0.6585,874294608.83
2024-10-03,2502.82,1727910000,0.9306,0.6452,1430992265.23
2024-10-04,2398.61,1727996400,0.5196,0.4747,1716157579.91
2024-10-05,2337.16,1728082800,0.1718,0.5466,1896223829.07
2024-10-06,2297.43,1728169200,0.8048,0.6867,1681061763.7
2024-10-07,2274.36,1728255600,0.5921,0.326,1724879908.4
2024-10-08,2236.44,1728342000,0.7171,0.4968,535496652.05
2024-10-09,2147.49,1728428400,0.3931,0.3545,918687489.08
2024-10-10,2168.78,1728514800,0.9018,0.748,1908855710.49
2024-10-11,2347.47,1728601200,0.6845,0.5744,898199543.78
2024-10-12,2288.88,1728687600,0.5359,0.3024,1409313279.96
2024-10-13,2253.53,1728774000,0.5548,0.7919,1563177925.75
2024-10-14,2197.36,1728860400,0.3828,0.3817,1612925116.76
2024-10-15,2272.59,1728946800,0.9073,0.3362,995300054.06
2024-10-16,2216.92,1729033200,0.6605,0.3223,963926993.31
2024-10-17,2251.37,1729119600,0.4399,0.66,1130669500.66
2024-10-18,2227.82,1729206000,0.5483,0.4459,951424811.85
2024-10-19,2295.81,1729292400,0.3652,0.3554,1369977171.79
2024-10-20,2302.5,1729378800,0.3425,0.6675,1209779278.86
2024-10-21,2337.24,1729465200,0.416,0.3591,1273178014.87
2024-10-22,2251.86,1729551600,0.6816,0.4659,1509193505.84
2024-10-23,2280.78,1729638000,0.487,0.4842,1212704516.33
2024-10-24,2307.12,1729724400,0.3296,0.3921,791652855.11
2024-10-25,2414.05,1729810800,0.2071,0.4516,508317227.21
2024-10-26,2486.1,1729897200,0.4869,0.6249,763830022.56
2024-10-27,2526.49,1729983600,0.6472,0.1903,1772504521.03
2024-10-28,2298.72,1730073600,0.4199,0.7506,1393178477.7
2024-10-29,2204.01,1730160000,0.3296,0.5416,1257167247.24
